Primo en posición,Tiempo de ejecución (s)
1,47.38422656059265
2,48.97667193412781
3,62.96607947349548
4,85.6744294166565
5,58.133965492248535
6,53.812599420547485
7,51.09490919113159
8,45.430904388427734
9,46.202452659606934
10,43.68261194229126
11,45.436203956604004
12,44.409334897994995
13,44.68322134017944
14,44.39445686340332
15,45.058847427368164
16,43.98586893081665
17,44.07665801048279
18,45.524752378463745
19,44.997334718704224
20,44.09134125709534
21,44.008270025253296
22,48.95219326019287
23,44.354806661605835
24,44.76170873641968
25,45.547980070114136
26,45.12865877151489
27,44.182838916778564
28,44.18980574607849
29,45.989607095718384
30,47.87313103675842
